kana,hina,romaji,english,explanation
ア,あ,a,*whoa*,
アッ,あっ,a,ah,"exclamation of surprise, amazement, relief"
ア！,あ！,a,*hey!* *ah!*,SFX for a crying or calling out.
ア。。,あ。。,a,*ah..* *ah* *oh* *ahh*,"Kind of like an open-mouthed ""oh, I see..."""
アーッ,あーっ,a-,ahh-,"Strong version of あっ (Ah) (exclamation of surprise, amazement,relief)"
アー,あー,a-,ah-,"Intonation: ""yes, okay"""
アーアー,あーあー,a- a-,*yawn*,
アーン,あーん,a-n,*open (mouth) wide*,Like when feeding babies.
アーンアーン,あーんあーん,a-n a-n,*cry* *mouth open*,"Crying with the mouth open, or opening mouth wide."
アァ,あぁ,aa,(1) *aah**I see**agrees*;(2) *aaahhh*,"(1) Used when you agree with something/someone;(2) SFX for a range of dramatized emotions, such as shock, dizziness, and being overwhelmed."
アア,ああ,aa,(1) *aah*;(2) *noo!**aaghh*,(1) Like opening your mouth so the doctor can check your tonsils.See also *an*;(2) Moaning or groaning sound of protest.
アチャー,あちゃー,acha-,(1) *agh* *damn* *crap*;(2) *jeez* *gosh*,"(1) As if to say ""now i've done it"""
アチ,あち,achi,Huh?(Question Mark),See also *achiii*.
アチイイ,あちいい,achiii,Huh?(Question Mark),See also *achi*.
アチョー,あちょー,acho-,a bruce lee whooacchoo!,
アフ,あふ,afu,*yawn* *sigh* *haa*,"SFX for a deep breath being taken, usually because of sleepiness."
アガ,あが,aga,*agh!**aah!*,Exclamation of surprise or alarm.
アギアギ,あぎあぎ,agi agi,*bite bite* *gnaw*,Sink your cute little fangs into.  See also *Agu agu* and *Kaji*
アグッ,あぐっ,agu,*ugh...!*,SFX for a grunt.
アグアグ,あぐあぐ,agu agu,*bite bite* *nibble nibble*,
アハーン,あはーん,aha-n,*moan*,"A single, seductive moan.  Can be comical.See also *ahha-n*."
アハハ,あはは,ahaha,(1) *ahaha* *laughter* *hahaha*;(2) *nervous laugh*,(1) The sound of loud laughter;(2) Can also be a nervous laugh.
アッハーン,あっはーん,ahha-n,*moan*,"A single, seductive moan."
アッハハハ,あっははは,ahhahaha,*hahaha*,Laughter.
アカ,あか,aka,*blush**red*,Blushing from embarrassment.
アカア,あかあ,akaa,*blush**red*,Blushing from embarrassment.See also *aka*.
アッカンベー,あっかんべー,akkanbe-,suck shit~! hehehe!,Said in a cute manner.
アッケラカン,あっけらかん,akkerakan,*indifference* *calm*,
アクセク,あくせく,aku seku,*toil* *drudge* *restless*,
アン,あん,an,*ahn*,See also *aah*.
アングリ,あんぐり,anguri,*open-mouth* *stunned* *dumbfounded*,"Gazing open-mouthed, stunned, dumbfounded with the mouth wide open."
アップアップ,あっぷあっぷ,appu appu,*gasp* *struggle*,"Gasping for air, struggling to stay afloat."
アラヨッ,あらよっ,arayo,*hup**up we get**off we go*,"Along with hoisatto, these are used when one is doing some physical task and finishing it easily. One uses either or both of them at a time."
アラヨット,あらよっと,arayotto,*up we get* *off we go*,A little saying like よいしょ、よっこらせ  which is said when doing physical tasks.
アレェ,あれぇ,aree,*huh?* *wha-?**what the..?*,
アリアリ,ありあり,ari ari,*sees clearly*,To clearly see in one's mind's eye.
アリャ,ありゃ,arya,*huh?* *eh?*,SFX for a questioning sound.
アセッ,あせっ,ase,(1) *bewildered**upset**flappable**flustered**fret*;(2) *sweat**perspire**sweatdrop*,"(2) ""ase"" comes from the word that literally means ""sweat"" or 「あせ」"
アッサリ,あっさり,assari,(1) *light**plain**delicate*;(2) *without thinking**simply**frankly**quickly*;(3) *plain appearance**light appearance**delicate appearance*,"(1) A light, plain, simple flavor;(2) Performing an action without a second thought;(3) To appear simple, plain, or light yet delicate."
アタフタ,あたふた,atafuta,(1) *panic panic*;(2) *hastily* *omg omg*,"SFX for moving busily.  Literally translates as an adverb, ""to hurry, hastily, in feverish haste."""
アトズサワ,あとずさわ,atozusawa,(1) *left behind*;(2) *flinch*;(3) *inch backwards**impatiently approaches*,
アワ,あわ,awa,*panicky**flustered*,See also *awa awa*.
アワアワ,あわあわ,awa awa,*panicky**flustered*,See also *awa*.
イーッダ,いーっだ,i-dda,*bleeeh*,Someone poking their tongue out mocking.  Similar to べー.
イチャ,いちゃ,icha,*cozy*,See also *ichya* and *ichya ichya*.
イチャクライチャクラ,いちゃくらいちゃくら,ichakura ichakura,*cozy* *cuddle*,"Displaying affection in public, acting cozy"
イチャ,いちゃ,ichya,(1) *cozy**cuddle*;(2) *flirt*,"(1) Displaying public affection;(2) Publicly showing affection, of attraction.See also *ichya ichya*."
イチャイチャ,いちゃいちゃ,ichya ichya,*cozy*,"Displaying affection in public, acting cozy.See also *ichya*."
